Clauses,T,s,Accuracy(%),,"? 数据加载成功！X 形状: (1928, 128), y 形状: (1928,)"
10,10,1.1,85.75129533678756,,
10,10,2.13,80.82901554404145,,?? 开始大范围三维网格搜索调参...
10,10,4.13,65.5440414507772,,?? 共生成 560 组参数组合待测试 (N:10 × T:7 × s:8)。
10,10,8,60.880829015544045,,? 警告：由于搜索空间极大，可能需要较长运行时间，进度将实时保存。
10,10,15.49,47.40932642487047,,"[1/560] 训练中: N=2, T=5, s=1.1 ... 验证率: 66.58%, 耗时/轮: 0.01s"
10,10,30,40.67357512953368,,    ?? 发现新的最优参数组合！验证率: 66.58%
10,50,1.1,73.83419689119171,,"[2/560] 训练中: N=2, T=5, s=2.1 ... 验证率: 56.48%, 耗时/轮: 0.00s"
10,50,2.13,67.35751295336787,,"[3/560] 训练中: N=2, T=5, s=3.99 ... 验证率: 46.63%, 耗时/轮: 0.00s"
10,50,4.13,57.2538860103627,,"[4/560] 训练中: N=2, T=5, s=7.6 ... 验证率: 40.16%, 耗时/轮: 0.00s"
10,50,8,54.66321243523316,,"[5/560] 训练中: N=2, T=5, s=14.47 ... 验证率: 33.16%, 耗时/轮: 0.00s"
10,50,15.49,42.74611398963731,,"[6/560] 训练中: N=2, T=5, s=27.57 ... 验证率: 29.53%, 耗时/轮: 0.00s"
10,50,30,36.787564766839374,,"[7/560] 训练中: N=2, T=5, s=52.5 ... 验证率: 27.72%, 耗时/轮: 0.00s"
10,100,1.1,80.05181347150258,,"[8/560] 训练中: N=2, T=5, s=100.0 ... 验证率: 26.42%, 耗时/轮: 0.00s"
10,100,2.13,67.09844559585493,,"[9/560] 训练中: N=2, T=20, s=1.1 ... 验证率: 60.36%, 耗时/轮: 0.01s"
10,100,4.13,62.43523316062176,,"[10/560] 训练中: N=2, T=20, s=2.1 ... 验证率: 53.63%, 耗时/轮: 0.00s"
10,100,8,60.62176165803109,,"[11/560] 训练中: N=2, T=20, s=3.99 ... 验证率: 51.30%, 耗时/轮: 0.00s"
10,100,15.49,45.854922279792746,,"[12/560] 训练中: N=2, T=20, s=7.6 ... 验证率: 34.20%, 耗时/轮: 0.00s"
10,100,30,34.97409326424871,,"[13/560] 训练中: N=2, T=20, s=14.47 ... 验证率: 34.46%, 耗时/轮: 0.00s"
10,150,1.1,74.09326424870466,,"[14/560] 训练中: N=2, T=20, s=27.57 ... 验证率: 28.50%, 耗时/轮: 0.00s"
10,150,2.13,68.39378238341969,,"[15/560] 训练中: N=2, T=20, s=52.5 ... 验证率: 27.20%, 耗时/轮: 0.00s"
10,150,4.13,57.2538860103627,,"[16/560] 训练中: N=2, T=20, s=100.0 ... 验证率: 25.13%, 耗时/轮: 0.00s"
10,150,8,55.95854922279793,,"[17/560] 训练中: N=2, T=50, s=1.1 ... 验证率: 57.25%, 耗时/轮: 0.01s"
10,150,15.49,46.1139896373057,,"[18/560] 训练中: N=2, T=50, s=2.1 ... 验证率: 51.30%, 耗时/轮: 0.00s"
10,150,30,37.04663212435233,,"[19/560] 训练中: N=2, T=50, s=3.99 ... 验证率: 49.48%, 耗时/轮: 0.00s"
10,200,1.1,79.53367875647669,,"[20/560] 训练中: N=2, T=50, s=7.6 ... 验证率: 38.60%, 耗时/轮: 0.00s"
10,200,2.13,62.69430051813472,,"[21/560] 训练中: N=2, T=50, s=14.47 ... 验证率: 33.94%, 耗时/轮: 0.00s"
10,200,4.13,64.24870466321244,,"[22/560] 训练中: N=2, T=50, s=27.57 ... 验证率: 28.76%, 耗时/轮: 0.00s"
10,200,8,51.554404145077726,,"[23/560] 训练中: N=2, T=50, s=52.5 ... 验证率: 26.42%, 耗时/轮: 0.00s"
10,200,15.49,45.59585492227979,,"[24/560] 训练中: N=2, T=50, s=100.0 ... 验证率: 25.13%, 耗时/轮: 0.00s"
10,200,30,36.26943005181347,,"[25/560] 训练中: N=2, T=100, s=1.1 ... 验证率: 64.51%, 耗时/轮: 0.01s"
100,10,1.1,92.2279792746114,,"[26/560] 训练中: N=2, T=100, s=2.1 ... 验证率: 54.40%, 耗时/轮: 0.00s"
100,10,2.13,90.67357512953367,,"[27/560] 训练中: N=2, T=100, s=3.99 ... 验证率: 49.48%, 耗时/轮: 0.00s"
100,10,4.13,88.60103626943005,,"[28/560] 训练中: N=2, T=100, s=7.6 ... 验证率: 31.87%, 耗时/轮: 0.00s"
100,10,8,89.63730569948186,,"[29/560] 训练中: N=2, T=100, s=14.47 ... 验证率: 30.31%, 耗时/轮: 0.00s"
100,10,15.49,89.63730569948186,,"[30/560] 训练中: N=2, T=100, s=27.57 ... 验证率: 30.57%, 耗时/轮: 0.00s"
100,10,30,85.75129533678756,,"[31/560] 训练中: N=2, T=100, s=52.5 ... 验证率: 26.94%, 耗时/轮: 0.00s"
100,50,1.1,88.60103626943005,,"[32/560] 训练中: N=2, T=100, s=100.0 ... 验证率: 25.65%, 耗时/轮: 0.00s"
100,50,2.13,89.11917098445595,,"[33/560] 训练中: N=2, T=200, s=1.1 ... 验证率: 61.92%, 耗时/轮: 0.01s"
100,50,4.13,85.49222797927462,,"[34/560] 训练中: N=2, T=200, s=2.1 ... 验证率: 52.85%, 耗时/轮: 0.00s"
100,50,8,80.82901554404145,,"[35/560] 训练中: N=2, T=200, s=3.99 ... 验证率: 46.63%, 耗时/轮: 0.00s"
100,50,15.49,71.24352331606218,,"[36/560] 训练中: N=2, T=200, s=7.6 ... 验证率: 38.60%, 耗时/轮: 0.00s"
100,50,30,64.24870466321244,,"[37/560] 训练中: N=2, T=200, s=14.47 ... 验证率: 30.57%, 耗时/轮: 0.00s"
100,100,1.1,87.8238341968912,,"[38/560] 训练中: N=2, T=200, s=27.57 ... 验证率: 29.02%, 耗时/轮: 0.00s"
100,100,2.13,87.30569948186529,,"[39/560] 训练中: N=2, T=200, s=52.5 ... 验证率: 25.91%, 耗时/轮: 0.00s"
100,100,4.13,87.8238341968912,,"[40/560] 训练中: N=2, T=200, s=100.0 ... 验证率: 25.91%, 耗时/轮: 0.00s"
100,100,8,74.87046632124353,,"[41/560] 训练中: N=2, T=500, s=1.1 ... 验证率: 65.28%, 耗时/轮: 0.01s"
100,100,15.49,69.68911917098445,,"[42/560] 训练中: N=2, T=500, s=2.1 ... 验证率: 59.84%, 耗时/轮: 0.00s"
100,100,30,60.10362694300518,,"[43/560] 训练中: N=2, T=500, s=3.99 ... 验证率: 40.41%, 耗时/轮: 0.00s"
100,150,1.1,82.38341968911918,,"[44/560] 训练中: N=2, T=500, s=7.6 ... 验证率: 39.12%, 耗时/轮: 0.00s"
100,150,2.13,83.16062176165802,,"[45/560] 训练中: N=2, T=500, s=14.47 ... 验证率: 31.61%, 耗时/轮: 0.00s"
100,150,4.13,85.23316062176166,,"[46/560] 训练中: N=2, T=500, s=27.57 ... 验证率: 28.24%, 耗时/轮: 0.00s"
100,150,8,76.94300518134715,,"[47/560] 训练中: N=2, T=500, s=52.5 ... 验证率: 27.20%, 耗时/轮: 0.00s"
100,150,15.49,72.279792746114,,"[48/560] 训练中: N=2, T=500, s=100.0 ... 验证率: 25.39%, 耗时/轮: 0.00s"
100,150,30,62.43523316062176,,"[49/560] 训练中: N=2, T=1000, s=1.1 ... 验证率: 59.07%, 耗时/轮: 0.01s"
100,200,1.1,83.41968911917098,,"[50/560] 训练中: N=2, T=1000, s=2.1 ... 验证率: 57.25%, 耗时/轮: 0.00s"
100,200,2.13,84.71502590673575,,"[51/560] 训练中: N=2, T=1000, s=3.99 ... 验证率: 43.01%, 耗时/轮: 0.00s"
100,200,4.13,82.64248704663213,,"[52/560] 训练中: N=2, T=1000, s=7.6 ... 验证率: 36.27%, 耗时/轮: 0.00s"
100,200,8,73.83419689119171,,"[53/560] 训练中: N=2, T=1000, s=14.47 ... 验证率: 32.64%, 耗时/轮: 0.00s"
100,200,15.49,68.65284974093264,,"[54/560] 训练中: N=2, T=1000, s=27.57 ... 验证率: 29.79%, 耗时/轮: 0.00s"
100,200,30,60.880829015544045,,"[55/560] 训练中: N=2, T=1000, s=52.5 ... 验证率: 25.39%, 耗时/轮: 0.00s"
500,10,1.1,92.48704663212435,,"[56/560] 训练中: N=2, T=1000, s=100.0 ... 验证率: 25.65%, 耗时/轮: 0.00s"
500,10,2.13,86.52849740932642,,"[57/560] 训练中: N=10, T=5, s=1.1 ... 验证率: 89.90%, 耗时/轮: 0.01s"
500,10,4.13,85.49222797927462,,    ?? 发现新的最优参数组合！验证率: 89.90%
500,10,8,90.67357512953367,,"[58/560] 训练中: N=10, T=5, s=2.1 ... 验证率: 90.41%, 耗时/轮: 0.01s"
500,10,15.49,89.89637305699482,,    ?? 发现新的最优参数组合！验证率: 90.41%
500,10,30,90.67357512953367,,"[59/560] 训练中: N=10, T=5, s=3.99 ... 验证率: 86.01%, 耗时/轮: 0.01s"
500,50,1.1,89.89637305699482,,"[60/560] 训练中: N=10, T=5, s=7.6 ... 验证率: 72.54%, 耗时/轮: 0.01s"
500,50,2.13,93.00518134715026,,"[61/560] 训练中: N=10, T=5, s=14.47 ... 验证率: 54.66%, 耗时/轮: 0.01s"
500,50,4.13,92.2279792746114,,"[62/560] 训练中: N=10, T=5, s=27.57 ... 验证率: 45.34%, 耗时/轮: 0.01s"
500,50,8,90.15544041450777,,"[63/560] 训练中: N=10, T=5, s=52.5 ... 验证率: 33.68%, 耗时/轮: 0.01s"
500,50,15.49,88.60103626943005,,"[64/560] 训练中: N=10, T=5, s=100.0 ... 验证率: 28.76%, 耗时/轮: 0.01s"
500,50,30,86.78756476683938,,"[65/560] 训练中: N=10, T=20, s=1.1 ... 验证率: 82.90%, 耗时/轮: 0.03s"
500,100,1.1,92.2279792746114,,"[66/560] 训练中: N=10, T=20, s=2.1 ... 验证率: 66.84%, 耗时/轮: 0.01s"
500,100,2.13,93.00518134715026,,"[67/560] 训练中: N=10, T=20, s=3.99 ... 验证率: 58.03%, 耗时/轮: 0.01s"
500,100,4.13,91.70984455958549,,"[68/560] 训练中: N=10, T=20, s=7.6 ... 验证率: 57.77%, 耗时/轮: 0.01s"
500,100,8,87.30569948186529,,"[69/560] 训练中: N=10, T=20, s=14.47 ... 验证率: 46.11%, 耗时/轮: 0.01s"
