FileName,Start_Time_ms,Hop_BW_MHz,Hop_Dur_ms,Nearest_Time_Int_ms,Nearest_BW_Int_MHz,Video_Period_ms,Video_DutyCycle_pct
T0001_D00_S0000,700,2.81575520833333,1.86944,15.399552,27.3828125,/,/
T0010_D10_S0000,700,1.61675347222222,1.76746666666667,10.56496,3.283691406,5.66520000000001,101.848499321242
T0011_D01_S0001,700,1.550292969,1.98328,12.3332571428571,31.6824776785714,14.0001066666667,69.7145164520371
T0100_D01_S0001,700,1.81361607142857,2.16886857142857,14,18.2942708333333,/,/
,,,,,,,
,,,,,,,
机型,数据来源,跳频带宽 (MHz),跳频时长 (ms),最邻时间间隔 (ms),最邻带宽间隔 (MHz),图传周期 (ms),图传占空比 (%)
Phantom 3（T0001）,参考值,1.8,1.8,5.2,28,/,/
,,,,,,,
,提取值,2.82,1.87,15.4,27.38,/,/
,误差,1.02,0.07,10.2,-0.62,/,/
Phantom 4 Pro（T0010）,参考值,1.2,2.2,12,0.45,14,68
,,,,,,,
,提取值,1.62,1.77,10.56,3.28,5.67,101.85
,误差,0.42,-0.43,-1.44,2.83,-8.33,33.85
MATRICE 200（T0011）,参考值,1.2,2.2,12,21,14,68
,,,,,,,
,提取值,1.55,1.98,12.33,31.68,14,69.71
,误差,0.35,-0.22,0.33,10.68,0,1.71
MATRICE 100（T0100）,参考值,1.2,2.2,12,6.8,/,/
,,,,,,,
,提取值,1.81,2.17,14,18.29,/,/
,误差,0.61,-0.03,2,11.49,/,/
